area,year,measurement,units,value,breakdown_of_domestic_tourism,age,marital_status,gender,employment_status,children,access_to_car,social_grade,type_of_location_visited,tourism_activity
Scotland,2013,Count,Million Visits,22,Visits,45-54 years,All,All,All,All,All,All,NA,"Outdoor leisure activities e.g. walking, golf"
Scotland,2013,Count,Million Visits,58,Visits,All,All,Male,All,All,All,All,NA,NA
Scotland,2016,Count,Million Visits,23,Visits,25-34 years,All,All,All,All,All,All,NA,NA
Scotland,2019,Count,Million Visits,56,Visits,All,Not Married,All,All,All,All,All,NA,NA
Scotland,2015,Count,Million Visits,52,Visits,All,Not Married,All,All,All,All,All,NA,NA
Scotland,2015,Count,Million Visits,15,Visits,45-54 years,All,All,All,All,All,All,NA,NA
Scotland,2018,Count,Million Visits,23,Visits,65 years and over,All,All,All,All,All,All,NA,NA
Scotland,2018,Count,Million Visits,59,Visits,All,Not Married,All,All,All,All,All,NA,NA
Scotland,2014,Count,Million Visits,73,Visits,All,Married,All,All,All,All,All,NA,NA
Scotland,2016,Count,Million Visits,142,Visits,All,All,All,All,All,All,All,All areas,All
Scotland,2017,Count,Million Visits,34,Visits,16-24 years,All,All,All,All,All,All,NA,NA
Scotland,2013,Count,Million Visits,19,Visits,55-64 years,All,All,All,All,All,All,NA,NA
Scotland,2015,Count,Million Visits,20,Visits,65 years and over,All,All,All,All,All,All,NA,NA
Scotland,2018,Count,Million Visits,23,Visits,55-64 years,All,All,All,All,All,All,NA,NA
Scotland,2017,Count,Million Visits,31,Visits,25-34 years,All,All,All,All,All,All,NA,NA
Scotland,2015,Count,Million Visits,73,Visits,All,Married,All,All,All,All,All,NA,NA
Scotland,2018,Count,Million Visits,30,Visits,25-34 years,All,All,All,All,All,All,NA,NA
Scotland,2017,Count,Million Visits,82,Visits,All,Married,All,All,All,All,All,NA,NA
Scotland,2015,Count,Million Visits,19,Visits,35-44 years,All,All,All,All,All,All,NA,"Night out to a bar, pub and/or club"
Scotland,2014,Count,Million Visits,23,Visits,65 years and over,All,All,All,All,All,All,NA,NA
Scotland,2013,Count,Million Visits,23,Visits,65 years and over,All,All,All,All,All,All,NA,NA
Scotland,2013,Count,Million Visits,18,Visits,35-44 years,All,All,All,All,All,All,Rural countryside,"Night out to a bar, pub and/or club"
Scotland,2013,Count,Million Visits,21,Visits,25-34 years,All,All,All,All,All,All,NA,NA
Scotland,2014,Count,Million Visits,47,Visits,All,All,All,All,All,All,AB,NA,NA
Scotland,2016,Count,Million Visits,42,Visits,All,All,All,All,All,All,C1,NA,NA
Scotland,2014,Count,Million Visits,18,Visits,45-54 years,All,All,All,All,All,All,NA,NA
