area,year,measurement,units,value,type_of_location_visited,breakdown_of_domestic_tourism,tourism_activity
Scotland,2014,Count,million pounds (GBP),186,Seaside - beach,Expenditure,NA
Scotland,2019,Count,million pounds (GBP),1456,Small town,Expenditure,NA
Scotland,2016,Count,million pounds (GBP),4916,All areas,Expenditure,All
Scotland,2018,Count,million pounds (GBP),5474,All areas,Expenditure,All
Scotland,2013,Count,million pounds (GBP),217,Seaside - beach,Expenditure,NA
Scotland,2018,Count,million pounds (GBP),6,Seaside - other,Expenditure,NA
Scotland,2018,Count,million pounds (GBP),1234,Small town,Expenditure,NA
Scotland,2015,Count,million pounds (GBP),230,Seaside resort or town,Expenditure,NA
Scotland,2016,Count,million pounds (GBP),302,Seaside resort or town,Expenditure,NA
Scotland,2019,Count,million pounds (GBP),359,Seaside resort or town,Expenditure,NA
Scotland,2017,Count,million pounds (GBP),458,Seaside resort or town,Expenditure,NA
Scotland,2015,Count,million pounds (GBP),3922,All areas,Expenditure,All
Scotland,2014,Count,million pounds (GBP),5020,All areas,Expenditure,All
Scotland,2013,Count,million pounds (GBP),4647,All areas,Expenditure,All
Scotland,2016,Count,million pounds (GBP),1037,Small town,Expenditure,NA
Scotland,2013,Count,million pounds (GBP),68,Seaside - other,Expenditure,NA
Scotland,2013,Count,million pounds (GBP),1035,Small town,Expenditure,NA
Scotland,2017,Count,million pounds (GBP),246,Seaside - beach,Expenditure,NA
Scotland,2019,Count,million pounds (GBP),35,Seaside - other,Expenditure,NA
Scotland,2015,Count,million pounds (GBP),914,Small town,Expenditure,NA
Scotland,2016,Count,million pounds (GBP),32,Seaside - other,Expenditure,NA
Scotland,2016,Count,million pounds (GBP),249,Seaside - beach,Expenditure,NA
Scotland,2015,Count,million pounds (GBP),36,Seaside - other,Expenditure,NA
Scotland,2014,Count,million pounds (GBP),128,Seaside - other,Expenditure,NA
Scotland,2017,Count,million pounds (GBP),75,Seaside - other,Expenditure,NA
Scotland,2015,Count,million pounds (GBP),81,Seaside - beach,Expenditure,NA
Scotland,2019,Count,million pounds (GBP),237,Seaside - beach,Expenditure,NA
Scotland,2018,Count,million pounds (GBP),151,Seaside - beach,Expenditure,NA
Scotland,2019,Count,million pounds (GBP),457,Village,Expenditure,NA
Scotland,2015,Count,million pounds (GBP),308,Village,Expenditure,NA
Scotland,2019,Count,million pounds (GBP),3400,City/large town,Expenditure,NA
Scotland,2018,Count,million pounds (GBP),3111,City/large town,Expenditure,NA
Scotland,2017,Count,million pounds (GBP),1377,Small town,Expenditure,NA
Scotland,2017,Count,million pounds (GBP),883,Village,Expenditure,NA
Scotland,2014,Count,million pounds (GBP),1398,Small town,Expenditure,NA
Scotland,2014,Count,million pounds (GBP),2873,City/large town,Expenditure,NA
Scotland,2015,Count,million pounds (GBP),2254,City/large town,Expenditure,NA
Scotland,2017,Count,million pounds (GBP),3379,City/large town,Expenditure,NA
Scotland,2016,Count,million pounds (GBP),2630,City/large town,Expenditure,NA
Scotland,2014,Count,million pounds (GBP),286,Seaside resort or town,Expenditure,NA
Scotland,2013,Count,million pounds (GBP),2850,City/large town,Expenditure,NA
Scotland,2013,Count,million pounds (GBP),206,Seaside resort or town,Expenditure,NA
Scotland,2017,Count,million pounds (GBP),778,Rural countryside,Expenditure,NA
Scotland,2016,Count,million pounds (GBP),520,Rural countryside,Expenditure,NA
Scotland,2017,Count,million pounds (GBP),5995,All areas,Expenditure,All
Scotland,2019,Count,million pounds (GBP),429,Rural countryside,Expenditure,NA
Scotland,2015,Count,million pounds (GBP),402,Rural countryside,Expenditure,NA
Scotland,2018,Count,million pounds (GBP),228,Seaside resort or town,Expenditure,NA
Scotland,2018,Count,million pounds (GBP),502,Rural countryside,Expenditure,NA
Scotland,2016,Count,million pounds (GBP),482,Village,Expenditure,NA
Scotland,2014,Count,million pounds (GBP),510,Village,Expenditure,NA
Scotland,2018,Count,million pounds (GBP),651,Village,Expenditure,NA
Scotland,2013,Count,million pounds (GBP),483,Village,Expenditure,NA
Scotland,2014,Count,million pounds (GBP),612,Rural countryside,Expenditure,NA
Scotland,2019,Count,million pounds (GBP),5777,All areas,Expenditure,All
Scotland,2013,Count,million pounds (GBP),545,Rural countryside,Expenditure,NA
Scotland,2013,Count,Million Visits,33,Small town,Visits,NA
Scotland,2016,Count,Million Visits,17,Village,Visits,NA
Scotland,2015,Count,Million Visits,32,Small town,Visits,NA
Scotland,2013,Count,Million Visits,15,Village,Visits,Shopping for items that you do not regularly buy
